"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE"
EDU_NUCE,dbo,TMP_DsLopHocPhan,BASE TABLE
EDU_NUCE,dbo,DT_DeXuatDiemTheoLichHoc,BASE TABLE
EDU_NUCE,dbo,DT_CC_DiemTinHoc,BASE TABLE
EDU_NUCE,dbo,DM_CachTinhDiemThanhPhan,BASE TABLE
EDU_NUCE,dbo,SYS_License,BASE TABLE
EDU_NUCE,dbo,EX_DoKhoHeLoai,BASE TABLE
EDU_NUCE,dbo,TS_DM_ToHopMonTieuChi,BASE TABLE
EDU_NUCE,dbo,DM_MultiLanguage,BASE TABLE
EDU_NUCE,dbo,KTX_KT_ChiPhiNoiTru,BASE TABLE
EDU_NUCE,dbo,KTX_RenLuyenCaNhan,BASE TABLE
EDU_NUCE,dbo,DM_CaHoc,BASE TABLE
